id,tarifit,arabic,english,dialect,pos,category,example,ipa,notes
000001,aman,ماء,water,Central Rif,Noun,Nature,Aman d azedgan.,,Common word
000002,tafucht,شمس,sun,Central Rif,Noun,Nature,Tafucht tfeɣ.,,
000003,taziri,قمر,moon,Central Rif,Noun,Nature,Taziri tettwali deg igenni.,,
000004,igenni,سماء,sky,Central Rif,Noun,Nature,Igenni yezga azegzaw.,,
000005,akal,أرض,earth,Central Rif,Noun,Nature,Akal nneɣ d ameqran.,,
000006,aryaz,رجل,man,Central Rif,Noun,People,Aryaz yella deg uxxam.,,
000007,tamghart,امرأة,woman,Central Rif,Noun,People,Tamghart tessawal.,,
000008,aqcic,ولد,boy,Central Rif,Noun,People,Aqcic yurar.,,
000009,taqcict,بنت,girl,Central Rif,Noun,People,Taqcict teɣra.,,
000010,aghrum,خبز,bread,Central Rif,Noun,Food,Nekk ččiɣ aghrum.,,
